price,surface,bedrooms,restrooms,Aire acondicionado,Ascensor,Bajos,Balcón,Calefacción,Parking,Piscina,Terraza,location_mean_price
630.0,85,3,2,0,0,0,0,0,0,0,0,1080.93
450.0,70,3,1,0,0,0,0,0,0,0,0,1080.93
600.0,90,3,2,0,1,0,0,1,0,0,0,1080.93
650.0,80,3,1,0,0,0,0,0,0,0,0,1080.93
650.0,80,3,1,0,1,0,0,1,0,0,0,1080.93
525.0,55,1,1,0,1,0,0,0,1,0,0,1080.93
850.0,75,2,2,0,1,0,0,1,0,0,0,1080.93
600.0,85,3,1,0,1,0,0,0,0,0,0,1080.93
630.0,84,3,1,0,0,0,0,0,0,0,0,1080.93
650.0,72,3,2,0,1,0,0,1,0,0,0,1080.93
750.0,110,4,2,0,0,0,0,1,0,0,0,1080.93
600.0,60,3,1,0,1,0,0,0,0,0,0,1080.93
675.0,71,2,2,0,1,0,0,0,0,0,0,1080.93
500.0,52,1,1,0,1,0,0,1,0,0,0,1080.93
450.0,36,1,1,0,0,0,0,1,0,0,0,1080.93
675.0,90,3,2,0,1,0,0,0,0,0,0,1080.93
500.0,86,3,1,0,1,0,0,0,0,0,0,1080.93
570.0,75,3,1,0,0,0,0,0,0,0,0,1080.93
750.0,100,3,2,0,0,0,0,1,0,0,0,1080.93
650.0,36,1,1,0,1,0,0,0,0,0,0,1080.93
550.0,46,1,1,0,1,0,0,0,0,0,0,1080.93
500.0,90,3,2,0,0,0,0,0,0,0,0,1080.93
700.0,90,2,2,0,0,0,0,1,0,0,0,1080.93
630.0,72,2,1,0,1,0,0,1,0,0,0,1080.93
575.0,57,1,1,0,0,0,0,0,0,0,0,1080.93
475.0,64,3,1,0,0,0,0,1,0,0,0,1080.93
900.0,100,2,2,0,0,0,0,1,0,0,0,1080.93
575.0,65,2,1,0,1,0,0,1,0,0,0,1080.93
600.0,100,4,2,0,1,0,0,0,0,0,0,1080.93
550.0,90,3,1,0,1,0,0,0,0,0,0,1080.93
400.0,50,2,1,0,0,0,0,1,0,0,0,1080.93
450.0,66,3,1,0,1,0,0,0,0,0,0,1080.93
600.0,30,1,1,0,1,0,0,0,0,0,0,1080.93
600.0,69,3,1,0,0,0,1,0,0,0,0,1080.93
450.0,60,2,1,0,0,1,0,0,0,0,1,1080.93
